,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
252,0.0,Mon Mar 26 22:55:04 +0000 2018,1.0,0.0,0.0,53,@CNN
253,0.0,Mon Mar 26 22:45:07 +0000 2018,1.0,0.0,0.0,54,@CNN
254,0.4767,Mon Mar 26 22:41:27 +0000 2018,0.866,0.0,0.134,55,@CNN
255,0.4939,Mon Mar 26 22:40:57 +0000 2018,0.789,0.0,0.211,56,@CNN
256,0.0,Mon Mar 26 22:32:24 +0000 2018,1.0,0.0,0.0,57,@CNN
257,0.5994,Mon Mar 26 22:31:16 +0000 2018,0.811,0.0,0.189,58,@CNN
258,-0.296,Mon Mar 26 22:30:12 +0000 2018,0.845,0.155,0.0,59,@CNN
259,-0.2617,Mon Mar 26 22:22:31 +0000 2018,0.898,0.102,0.0,60,@CNN
260,0.0,Mon Mar 26 22:15:06 +0000 2018,1.0,0.0,0.0,61,@CNN
261,-0.3612,Mon Mar 26 22:14:02 +0000 2018,0.865,0.135,0.0,62,@CNN
262,-0.4215,Mon Mar 26 22:11:05 +0000 2018,0.797,0.203,0.0,63,@CNN
263,-0.2263,Mon Mar 26 22:05:42 +0000 2018,0.808,0.192,0.0,64,@CNN
264,-0.3612,Mon Mar 26 22:04:14 +0000 2018,0.884,0.116,0.0,65,@CNN
265,0.4215,Mon Mar 26 22:03:49 +0000 2018,0.859,0.0,0.141,66,@CNN
266,0.5574,Mon Mar 26 22:02:07 +0000 2018,0.865,0.0,0.135,67,@CNN
267,-0.6486,Mon Mar 26 21:54:19 +0000 2018,0.798,0.202,0.0,68,@CNN
268,0.0,Mon Mar 26 21:50:56 +0000 2018,1.0,0.0,0.0,69,@CNN
269,0.4767,Mon Mar 26 21:50:01 +0000 2018,0.866,0.0,0.134,70,@CNN
270,0.0,Mon Mar 26 21:45:05 +0000 2018,1.0,0.0,0.0,71,@CNN
271,0.0,Mon Mar 26 21:42:38 +0000 2018,1.0,0.0,0.0,72,@CNN
272,-0.3612,Mon Mar 26 21:36:04 +0000 2018,0.865,0.135,0.0,73,@CNN
273,0.0772,Mon Mar 26 21:30:19 +0000 2018,0.894,0.0,0.106,74,@CNN
274,0.0,Mon Mar 26 21:25:20 +0000 2018,1.0,0.0,0.0,75,@CNN
275,0.0,Mon Mar 26 21:21:09 +0000 2018,1.0,0.0,0.0,76,@CNN
276,-0.4019,Mon Mar 26 21:15:40 +0000 2018,0.876,0.124,0.0,77,@CNN
277,-0.2732,Mon Mar 26 21:15:10 +0000 2018,0.84,0.16,0.0,78,@CNN
